date,open,high,low,close,Adj Close,Volume
2020-02-05 00:00:00-5:00,188.79863,207.726074,187.958984,203.820496,203.820496,829742.5625
2020-02-06 00:00:00-5:00,203.823196,216.608597,200.930405,213.070602,213.070602,887504.6875
2020-02-07 00:00:00-5:00,213.040283,224.812775,213.026764,223.279083,223.279083,931036.0625
2020-02-10 00:00:00-5:00,228.549881,229.411392,216.322678,222.914078,222.914078,721752.25
2020-02-11 00:00:00-5:00,222.901474,239.31041,218.097107,237.007172,237.007172,844582.0625
2020-02-12 00:00:00-5:00,237.003433,275.281525,236.995804,265.832794,265.832794,1598992.75
2020-02-13 00:00:00-5:00,265.879822,277.615204,255.59729,268.336884,268.336884,1537202.375
2020-02-14 00:00:00-5:00,268.325409,287.219482,260.250885,285.331024,285.331024,1073278
2020-02-18 00:00:00-5:00,267.996521,285.934937,258.533051,282.70752,282.70752,2413337.5
2020-02-19 00:00:00-5:00,282.786804,285.706909,254.493988,259.799805,259.799805,1810162
2020-02-20 00:00:00-5:00,260.433044,264.753601,246.484085,257.529205,257.529205,2596656
2020-02-21 00:00:00-5:00,256.757416,268.05481,253.799545,265.145508,265.145508,1405911.375
2020-02-24 00:00:00-5:00,274.856354,277.412506,256.714417,265.675079,265.675079,1539676.5
2020-02-25 00:00:00-5:00,265.562439,266.246674,244.83783,246.786346,246.786346,1477306.25
2020-02-26 00:00:00-5:00,246.658081,250.406494,216.14595,223.865524,223.865524,2691465
2020-02-27 00:00:00-5:00,223.959976,238.267349,210.812561,227.729446,227.729446,2887163.5
2020-02-28 00:00:00-5:00,227.702255,234.68718,214.793808,224.829529,224.829529,2087013.125
2020-03-02 00:00:00-5:00,217.771988,234.628159,216.004807,232.1371,232.1371,1134494.375
2020-03-03 00:00:00-5:00,232.135269,232.628448,219.722595,223.915161,223.915161,1004729.938
2020-03-04 00:00:00-5:00,223.41951,227.182159,220.298691,224.363327,224.363327,953340.9375
2020-03-05 00:00:00-5:00,224.311066,234.110504,224.261444,228.451141,228.451141,2498188.5
2020-03-06 00:00:00-5:00,228.392746,244.302612,227.420334,244.033783,244.033783,1652202
2020-03-09 00:00:00-5:00,199.499573,208.696457,190.442795,202.892288,202.892288,3296090.25
2020-03-10 00:00:00-5:00,202.81131,205.909119,196.285583,200.695343,200.695343,2180954.5
2020-03-11 00:00:00-5:00,200.770599,203.187408,181.629852,194.770935,194.770935,1962113.875
2020-03-12 00:00:00-5:00,194.778793,195.680023,101.532784,108.488655,108.488655,7301910
2020-03-13 00:00:00-5:00,108.545845,141.593506,88.913521,132.543411,132.543411,8302653.5
2020-03-16 00:00:00-5:00,123.738464,124.194557,101.223618,111.171524,111.171524,3640638
2020-03-17 00:00:00-5:00,114.153046,120.68576,111.12117,115.795082,115.795082,4322984
2020-03-18 00:00:00-5:00,115.771156,118.306595,110.043968,117.524429,117.524429,3288546.75
2020-03-19 00:00:00-5:00,118.233673,143.319641,115.546829,136.40506,136.40506,3321002.75
2020-03-20 00:00:00-5:00,136.361359,152.802124,117.086838,133.401093,133.401093,4639016.5
2020-03-23 00:00:00-5:00,122.258537,137.322174,119.443481,136.154083,136.154083,2768974.75
2020-03-24 00:00:00-5:00,136.093002,143.660812,132.481262,138.553162,138.553162,2433169
